time,jogos,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo_gols,posicao_r19,temporada,aproveitamento,distancia_para_16,distancia_para_z4,pontos_por_jogo,gols_pro_por_jogo,gols_contra_por_jogo,saldo_por_jogo,aproveitamento_ultimos_5,variacao_posicao_ultimas_5,percentual_pontos_casa,percentual_pontos_fora,posicao_final,rebaixado,serie_a_last_5,previous_season_position,previous_season_score,squad_strength_0_100,recent_points_last5,recent_goal_diff_last5,elo_ajustado
Cruzeiro,19,27,7,6,6,21,16,5,7,2017,0.47368421052631576,5,8,1.4210526315789473,1.105263157894737,0.8421052631578947,0.2631578947368421,0.4,0,0.5925925925925926,0.4074074074074074,5,0,2.0,22.0,-1.0,60.6,6.0,1.3157894736842104,1561.161393743004
Athletico-PR,19,26,7,5,7,21,22,-1,8,2017,0.45614035087719296,4,7,1.368421052631579,1.105263157894737,1.1578947368421053,-0.05263157894736842,0.6666666666666666,7,0.4230769230769231,0.5769230769230769,11,0,2.0,22.0,-1.0,60.6,10.0,-0.2631578947368421,1465.660972752581
Fluminense,19,26,6,8,5,29,27,2,9,2017,0.45614035087719296,4,7,1.368421052631579,1.5263157894736843,1.4210526315789473,0.10526315789473684,0.4,1,0.5,0.5,14,0,2.0,22.0,-1.0,60.6,6.0,0.5263157894736842,1635.4776854696022
Coritiba,19,25,7,4,8,21,25,-4,10,2017,0.43859649122807015,3,6,1.3157894736842106,1.105263157894737,1.3157894736842106,-0.21052631578947367,0.4,2,0.6,0.4,17,1,2.0,22.0,-1.0,60.6,6.0,-1.0526315789473684,1452.3812511913577
Botafogo-RJ,19,25,6,7,6,21,20,1,11,2017,0.43859649122807015,3,6,1.3157894736842106,1.105263157894737,1.0526315789473684,0.05263157894736842,0.2,-5,0.56,0.44,10,0,1.0,22.0,-1.0,54.6,3.0,0.2631578947368421,1841.6574495478396
Vasco,19,24,7,3,9,21,30,-9,12,2017,0.42105263157894735,2,5,1.263157894736842,1.105263157894737,1.5789473684210527,-0.47368421052631576,0.26666666666666666,-3,0.6666666666666666,0.3333333333333333,7,0,1.0,22.0,-1.0,54.6,4.0,-2.3684210526315788,1590.4849872061493
Bahia,19,23,6,5,8,24,24,0,13,2017,0.40350877192982454,1,4,1.2105263157894737,1.263157894736842,1.263157894736842,0.0,0.4666666666666667,1,0.6086956521739131,0.391304347826087,12,0,1.0,22.0,-1.0,54.6,7.0,0.0,1547.2180917243513
Ponte Preta,19,23,6,5,8,20,24,-4,14,2017,0.40350877192982454,1,4,1.2105263157894737,1.0526315789473684,1.263157894736842,-0.21052631578947367,0.5333333333333333,2,0.7391304347826086,0.2608695652173913,19,1,1.0,22.0,-1.0,54.6,8.0,-1.0526315789473684,1434.131304107345
Atletico-MG,19,23,6,5,8,19,23,-4,15,2017,0.40350877192982454,1,4,1.2105263157894737,1.0,1.2105263157894737,-0.21052631578947367,0.2,-4,0.34782608695652173,0.6521739130434783,9,0,2.0,22.0,-1.0,60.6,3.0,-1.0526315789473684,1539.0397501401658
Chapecoense,19,22,6,4,9,24,33,-9,16,2017,0.38596491228070173,0,3,1.1578947368421053,1.263157894736842,1.736842105263158,-0.47368421052631576,0.26666666666666666,-3,0.6363636363636364,0.36363636363636365,8,0,2.0,22.0,-1.0,60.6,4.0,-2.3684210526315788,1285.7921048608812
Sao Paulo,19,19,5,4,10,22,26,-4,17,2017,0.3333333333333333,-3,0,1.0,1.1578947368421053,1.368421052631579,-0.21052631578947367,0.4666666666666667,1,0.7894736842105263,0.21052631578947367,13,0,2.0,22.0,-1.0,60.6,7.0,-1.0526315789473684,1614.986986437013
Vitoria,19,19,5,4,10,21,30,-9,18,2017,0.3333333333333333,-3,0,1.0,1.105263157894737,1.5789473684210527,-0.47368421052631576,0.4666666666666667,1,0.42105263157894735,0.5789473684210527,16,0,1.0,22.0,-1.0,54.6,7.0,-2.3684210526315788,1632.4354148223447
Avai,19,18,4,6,9,10,25,-15,19,2017,0.3157894736842105,-4,-1,0.9473684210526315,0.5263157894736842,1.3157894736842106,-0.7894736842105263,0.3333333333333333,-2,0.6111111111111112,0.3888888888888889,18,1,1.0,22.0,-1.0,54.6,5.0,-3.947368421052632,1405.395390597097
Atletico-GO,19,12,3,3,13,16,34,-18,20,2017,0.21052631578947367,-10,-7,0.631578947368421,0.8421052631578947,1.7894736842105263,-0.9473684210526315,0.26666666666666666,0,0.6666666666666666,0.3333333333333333,20,1,0.0,22.0,-1.0,48.6,4.0,-4.7368421052631575,1442.2424501665616
Sao Paulo,19,41,12,5,2,32,16,16,1,2018,0.7192982456140351,20,21,2.1578947368421053,1.6842105263157894,0.8421052631578947,0.8421052631578947,0.8,1,0.5609756097560976,0.43902439024390244,5,0,3.0,13.0,8.0,79.2,12.0,4.2105263157894735,1614.986986437013
Internacional,19,38,11,5,3,27,12,15,2,2018,0.6666666666666666,17,18,2.0,1.4210526315789473,0.631578947368421,0.7894736842105263,0.8,1,0.6052631578947368,0.39473684210526316,3,0,2.0,22.0,-1.0,60.6,12.0,3.947368421052632,1713.8957545418189
Flamengo,19,37,11,4,4,29,15,14,3,2018,0.6491228070175439,16,17,1.9473684210526316,1.5263157894736843,0.7894736842105263,0.7368421052631579,0.4666666666666667,-2,0.6756756756756757,0.32432432432432434,2,0,3.0,6.0,15.0,89.0,7.0,3.6842105263157894,1731.955368962229
Gremio,19,36,10,6,3,23,8,15,4,2018,0.631578947368421,15,16,1.894736842105263,1.2105263157894737,0.42105263157894735,0.7894736842105263,0.8666666666666667,3,0.5833333333333334,0.4166666666666667,4,0,3.0,4.0,17.0,91.8,13.0,3.947368421052632,1612.9657922808278
Atletico-MG,19,33,10,3,6,36,26,10,5,2018,0.5789473684210527,12,13,1.736842105263158,1.894736842105263,1.368421052631579,0.5263157894736842,0.6666666666666666,0,0.6666666666666666,0.3333333333333333,6,0,3.0,9.0,12.0,84.8,10.0,2.631578947368421,1539.0397501401658
Palmeiras,19,33,9,6,4,29,15,14,6,2018,0.5789473684210527,12,13,1.736842105263158,1.5263157894736843,0.7894736842105263,0.7368421052631579,0.6666666666666666,0,0.6060606060606061,0.3939393939393939,1,0,3.0,2.0,19.0,94.6,10.0,3.6842105263157894,1725.3631138841113
Corinthians,19,26,7,5,7,22,16,6,7,2018,0.45614035087719296,5,6,1.368421052631579,1.1578947368421053,0.8421052631578947,0.3157894736842105,0.4666666666666667,2,0.7307692307692307,0.2692307692307692,13,0,3.0,1.0,20.0,96.0,7.0,1.5789473684210527,1761.101341751857
Cruzeiro,19,26,7,5,7,15,16,-1,8,2018,0.45614035087719296,5,6,1.368421052631579,0.7894736842105263,0.8421052631578947,-0.05263157894736842,0.13333333333333333,-4,0.6538461538461539,0.34615384615384615,8,0,3.0,5.0,16.0,90.4,2.0,-0.2631578947368421,1561.161393743004
